Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Dall's Porpoise,Phocoenoides dalli,,Mammals,Pacific Ocean,Not at Risk,,
Darkblotched Rockfish,Sebastes crameri,,Fishes,Pacific Ocean,Special Concern,No schedule,No Status
Deepwater Cisco,Coregonus johannae,,Fishes,Ontario,Extinct,,
Deepwater Redfish,Sebastes mentella,Northern population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Deepwater Redfish,Sebastes mentella,Gulf of St. Lawrence - Laurentian Channel population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Deepwater Sculpin,Myoxocephalus thompsonii,Great Lakes populations,Fishes,Ontario,Non-active,Schedule 2,Threatened
Deepwater Sculpin,Myoxocephalus thompsonii,Western populations,Fishes,"Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario",Not at Risk,,
Deepwater Sculpin,Myoxocephalus thompsonii,Great Lakes - Western St. Lawrence populations,Fishes,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Deerberry,Vaccinium stamineum,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
DeKay's Brownsnake,Storeria dekayi,,Reptiles,"Ontario, Quebec",Not at Risk,,
Delicate Luster Moss,Isopterygium tenerum,,Mosses,Nova Scotia,Not at Risk,,
Deltoid Balsamroot,Balsamorhiza deltoidea,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Dense Blazing Star,Liatris spicata,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Dense Spike-primrose,Epilobium densiflorum,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Dense-flowered Lupine,Lupinus densiflorus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Desert Nightsnake,Hypsiglena chlorophaea,,Reptiles,British Columbia,Endangered,Schedule 1,Endangered
Dolly Varden,Salvelinus malma malma,Western Arctic populations,Fishes,"Yukon, Northwest Territories",Special Concern,No schedule,No Status
Double-crested Cormorant,Phalocrocorax auritus,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Dromedary Jumping-slug,Hemphillia dromedarius,,Molluscs,British Columbia,Threatened,Schedule 1,Threatened
Drooping Trillium,Trillium flexipes,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Dun Skipper vestris subspecies,Euphyes vestris vestris,,Arthropods,British Columbia,Threatened,Schedule 1,Threatened
Dune Tachinid Fly,Germaria angustata,,Arthropods,Yukon,Special Concern,No schedule,No Status
Dusky Dune Moth,Copablepharon longipenne,,Arthropods,"Alberta, Saskatchewan, Manitoba",Endangered,Schedule 1,Endangered
Dwarf Fleabane,Erigeron radicatus,,Vascular Plants,"Alberta, Saskatchewan",Not at Risk,,
Dwarf Hackberry,Celtis tenuifolia,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Dwarf Lake Iris,Iris lacustris,,Vascular Plants,Ontario,Special Concern,Schedule 1,Threatened
Dwarf Sandwort,Minuartia pusilla,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Dwarf Wedgemussel,Alasmidonta heterodon,,Molluscs,New Brunswick,Extirpated,Schedule 1,Extirpated
Dwarf Woolly-heads,Psilocarphus brevissimus,Southern Mountain population,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Dwarf Woolly-heads,Psilocarphus brevissimus,Prairie population,Vascular Plants,"Alberta, Saskatchewan",Special Concern,Schedule 1,Special Concern
Eastern persius Duskywing,Erynnis persius persius,,Arthropods,Ontario,Endangered,Schedule 1,Endangered
Eastern Baccharis,Baccharis halimifolia,,Vascular Plants,Nova Scotia,Threatened,No schedule,No Status
Eastern Bluebird,Sialia sialis,,Birds,"Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Not at Risk,,
Eastern Flowering Dogwood,Cornus florida,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Eastern Foxsnake,Pantherophis gloydi,Carolinian population,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Eastern Foxsnake,Pantherophis gloydi,Great Lakes / St. Lawrence population,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Eastern Hog-nosed Snake,Heterodon platirhinos,,Reptiles,Ontario,Threatened,Schedule 1,Threatened
Eastern Lilaeopsis,Lilaeopsis chinensis,,Vascular Plants,Nova Scotia,Special Concern,Schedule 1,Special Concern
Eastern Meadowlark,Sturnella magna,,Birds,"Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,No schedule,No Status
Eastern Mole,Scalopus aquaticus,,Mammals,Ontario,Special Concern,Schedule 1,Special Concern
Eastern Mountain Avens,Geum peckii,,Vascular Plants,Nova Scotia,Endangered,Schedule 1,Endangered
Eastern Musk Turtle,Sternotherus odoratus,,Reptiles,"Ontario, Quebec",Special Concern,Schedule 1,Threatened
Eastern Pondmussel,Ligumia nasuta,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Eastern Prairie Fringed-orchid,Platanthera leucophaea,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Eastern Prickly Pear Cactus,Opuntia humifusa,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Eastern Ribbonsnake,Thamnophis sauritus,Great Lakes population,Reptiles,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Eastern Ribbonsnake,Thamnophis sauritus,Atlantic population,Reptiles,Nova Scotia,Threatened,Schedule 1,Threatened
Eastern Sand Darter,Ammocrypta pellucida,Ontario populations,Fishes,Ontario,Threatened,Schedule 1,Threatened
Eastern Sand Darter,Ammocrypta pellucida,Quebec populations,Fishes,Quebec,Threatened,Schedule 1,Threatened
Eastern Screech-owl,Megascops asio,,Birds,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick",Not at Risk,,
Eastern Silvery Minnow,Hybognathus regius,,Fishes,"Ontario, Quebec",Not at Risk,,
Eastern Tiger Salamander,Ambystoma tigrinum,Carolinian population,Amphibians,Ontario,Extirpated,No schedule,No Status
Eastern Tiger Salamander,Ambystoma tigrinum,Prairie population,Amphibians,Manitoba,Endangered,,
Eastern Waterfan,Peltigera hydrothyria,,Lichens,"Quebec, New Brunswick, Nova Scotia",Threatened,,
Eastern Whip-poor-will,Antrostomus vociferus,,Birds,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened
Eastern Wolf,Canis lupus lycaon,,Mammals,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Eastern Wood-pewee,Contopus virens,,Birds,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Special Concern,No schedule,No Status
Eastern Yellow-bellied Racer,Coluber constrictor flaviventris,,Reptiles,Saskatchewan,Threatened,Schedule 1,Threatened
Edwards' Beach Moth,Anarta edwardsii,,Arthropods,British Columbia,Endangered,Schedule 1,Endangered
Eelgrass Limpet,Lottia alveus alveus,,Molluscs,Atlantic Ocean,Extinct,,
Engelmann's Quillwort,Isoetes engelmannii,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Enos Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Enos Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Enos Lake Sticklebacks,Gasterosteus spp.,,Fishes,British Columbia,Non-active,Schedule 2,Threatened
Ensatina,Ensatina eschscholtzii,,Amphibians,British Columbia,Not at Risk,,
Ermine haidarum subspecies,Mustela erminea haidarum,,Mammals,British Columbia,Threatened,Schedule 1,Threatened
Eskimo Curlew,Numenius borealis,,Birds,"Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Schedule 1,Endangered
Eulachon,Thaleichthys pacificus,Nass / Skeena Rivers population,Fishes,"British Columbia, Pacific Ocean",Special Concern,No schedule,No Status
Eulachon,Thaleichthys pacificus,Central Pacific Coast population,Fishes,"British Columbia, Pacific Ocean",Endangered,No schedule,No Status
Eulachon,Thaleichthys pacificus,Fraser River population,Fishes,"British Columbia, Pacific Ocean",Endangered,No schedule,No Status
False Hop Sedge,Carex lupuliformis,,Vascular Plants,"Ontario, Quebec",Endangered,Schedule 1,Endangered
False Killer Whale,Pseudorca crassidens,,Mammals,Pacific Ocean,Not at Risk,,
False Mermaid,Floerkea proserpinacoides,,Vascular Plants,"Ontario, Quebec, Nova Scotia",Not at Risk,,
False Rue-anemone,Enemion biternatum,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Fameflower,Talinum sediforme,,Vascular Plants,British Columbia,Not at Risk,,
Fawnsfoot,Truncilla donaciformis,,Molluscs,Ontario,Endangered,No schedule,No Status
Felt-leaf Willow,Salix silicicola,,Vascular Plants,"Nunavut, Saskatchewan",Special Concern,Schedule 1,Special Concern
Fernald's Braya,Braya fernaldii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Threatened
Fernald's Milk-vetch,Astragalus robbinsii var. fernaldii,,Vascular Plants,"Quebec, Newfoundland and Labrador",Special Concern,Schedule 1,Special Concern
Ferruginous Hawk,Buteo regalis,,Birds,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Fin Whale,Balaenoptera physalus,,Mammals,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 3,Special Concern
Fin Whale,Balaenoptera physalus,Atlantic population,Mammals,Atlantic Ocean,Special Concern,Schedule 1,Special Concern
Fin Whale,Balaenoptera physalus,Pacific population,Mammals,Pacific Ocean,Threatened,Schedule 1,Threatened
Five-lined Skink,Plestiodon fasciatus,,Reptiles,Ontario,Non-active,Schedule 3,Special Concern
Five-lined Skink,Plestiodon fasciatus,Great Lakes / St. Lawrence population,Reptiles,Ontario,Special Concern,Schedule 1,Special Concern
Five-lined Skink,Plestiodon fasciatus,Carolinian population,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Five-spotted Bogus Yucca Moth,Prodoxus quinquepunctellus,,Arthropods,Alberta,Endangered,Schedule 1,Endangered
Flammulated Owl,Otus flammeolus,,Birds,British Columbia,Special Concern,Schedule 1,Special Concern
Floccose Tansy,Tanacetum huronense var. floccosum,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern
Flooded Jellyskin Lichen,Leptogium rivulare,,Lichens,"Manitoba, Ontario",Threatened,Schedule 1,Threatened
Foothill Sedge,Carex tumulicola,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Forked Three-awned Grass,Aristida basiramea,,Vascular Plants,"Ontario, Quebec",Endangered,Schedule 1,Endangered
Four-leaved Milkweed,Asclepias quadrifolia,,Vascular Plants,Ontario,Endangered,No schedule,No Status
Four-toed Salamander,Hemidactylium scutatum,,Amphibians,"Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,,
Fourhorn Sculpin,Myoxocephalus quadricornis,Freshwater form,Fishes,"Northwest Territories, Nunavut, Newfoundland and Labrador",Data Deficient,Schedule 3,Special Concern
Fourhorn Sculpin,Myoxocephalus quadricornis,Salt water form,Fishes,"Pacific Ocean, Arctic Ocean, Atlantic Ocean",Not at Risk,,
Fowler's Toad,Anaxyrus fowleri,,Amphibians,Ontario,Endangered,Schedule 1,Endangered
Fox Squirrel,Sciurus niger,,Mammals,"Manitoba, Ontario",Not at Risk,,
Fragrant Popcornflower,Plagiobothrys figuratus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Fringed Bat,Myotis thysanodes,,Mammals,British Columbia,Data Deficient,Schedule 3,Special Concern
Frosted Elfin,Callophrys irus,,Arthropods,Ontario,Extirpated,Schedule 1,Extirpated
Frosted Glass-whiskers Lichen,Sclerophora peronella,Nova Scotia population,Lichens,Nova Scotia,Special Concern,Schedule 1,Special Concern
Furbish's Lousewort,Pedicularis furbishiae,,Vascular Plants,New Brunswick,Endangered,Schedule 1,Endangered
Gasp_ Shrew,Sorex gaspensis,,Mammals,"Quebec, New Brunswick, Nova Scotia",Not at Risk,Schedule 3,Special Concern
Gattinger's Agalinis,Agalinis gattingeri,,Vascular Plants,"Manitoba, Ontario",Endangered,Schedule 1,Endangered
Georgia Basin Bog Spider,Gnaphosa snohomish,,Arthropods,British Columbia,Special Concern,No schedule,No Status
Ghost Antler Lichen,Pseudevernia cladonia,,Lichens,"Quebec, New Brunswick, Nova Scotia",Not at Risk,No schedule,No Status
Ghost Shiner,Notropis buchanani,,Fishes,Ontario,Not at Risk,,
Giant Helleborine,Epipactis gigantea,,Vascular Plants,British Columbia,Special Concern,Schedule 3,Special Concern
Giant Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Special Concern,Schedule 3,Special Concern
Gibson's Big Sand Tiger Beetle,Cicindela formosa gibsoni,,Arthropods,"Alberta, Saskatchewan",Threatened,No schedule,No Status
Gold-edged Gem,Schinia avemensis,,Arthropods,"Alberta, Saskatchewan, Manitoba",Endangered,Schedule 1,Endangered
Golden Eagle,Aquila chrysaetos,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Not at Risk,,
Golden Paintbrush,Castilleja levisecta,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Golden Redhorse,Moxostoma erythrurum,,Fishes,"Manitoba, Ontario",Not at Risk,,
Golden-winged Warbler,Vermivora chrysoptera,,Birds,"Manitoba, Ontario, Quebec",Threatened,Schedule 1,Threatened
Goldencrest,Lophiola aurea,,Vascular Plants,Nova Scotia,Special Concern,Schedule 1,Threatened
Goldenseal,Hydrastis canadensis,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Grand Coulee Owl-clover,Orthocarpus barbatus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Grass Pickerel,Esox americanus vermiculatus,,Fishes,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
"Grasshopper Sparrow, pratensis subspecies",Ammodramus savannarum pratensis,,Birds,"Ontario, Quebec",Special Concern,,
Gravel Chub,Erimystax x-punctatus,,Fishes,Ontario,Extirpated,Schedule 1,Extirpated
Gray Ratsnake,Pantherophis spiloides,Great Lakes / St. Lawrence population,Reptiles,Ontario,Threatened,Schedule 1,Threatened
Gray Ratsnake,Pantherophis spiloides,Carolinian population,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Gray's Desert-parsley,Lomatium grayi,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Great Auk,Pinguinus impennis,,Birds,"Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Extinct,,
Great Basin Gophersnake,Pituophis catenifer deserticola,,Reptiles,British Columbia,Threatened,Schedule 1,Threatened
Great Basin Spadefoot,Spea intermontana,,Amphibians,British Columbia,Threatened,Schedule 1,Threatened
Great Blue Heron fannini subspecies,Ardea herodias fannini,,Birds,British Columbia,Special Concern,Schedule 1,Special Concern
Great Grey Owl,Strix nebulosa,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Not at Risk,,
Great Plains Toad,Anaxyrus cognatus,,Amphibians,"Alberta, Saskatchewan, Manitoba",Special Concern,Schedule 1,Special Concern
Greater Prairie-Chicken,Tympanuchus cupido,,Birds,"Alberta, Saskatchewan, Manitoba, Ontario",Extirpated,Schedule 1,Extirpated
Greater Sage-Grouse phaios subspecies,Centrocercus urophasianus phaios,,Birds,British Columbia,Extirpated,Schedule 1,Extirpated
Greater Sage-Grouse urophasianus subspecies,Centrocercus urophasianus urophasianus,,Birds,"Alberta, Saskatchewan",Endangered,Schedule 1,Endangered
Greater Short-horned Lizard,Phrynosoma hernandesi,,Reptiles,"Alberta, Saskatchewan",Endangered,Schedule 1,Endangered
Green Dragon,Arisaema dracontium,,Vascular Plants,"Ontario, Quebec",Special Concern,Schedule 3,Special Concern
Green Sturgeon,Acipenser medirostris,,Fishes,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern
Green Sunfish,Lepomis cyanellus,,Fishes,Ontario,Not at Risk,,
Green-scaled Willow,Salix chlorolepis,,Vascular Plants,Quebec,Threatened,Schedule 1,Threatened
Greenish-white Grasshopper,Hypochlora alba,,Arthropods,"Alberta, Saskatchewan, Manitoba",Special Concern,No schedule,No Status
Greenside Darter,Etheostoma blennioides,,Fishes,Ontario,Not at Risk,Schedule 3,Special Concern
Grey Flycatcher,Empidonax wrightii,,Birds,British Columbia,Not at Risk,,
Grey Fox,Urocyon cinereoargenteus,,Mammals,"Manitoba, Ontario",Threatened,Schedule 1,Threatened
Grey Seal,Halichoerus grypus,,Mammals,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Grey Whale,Eschrichtius robustus,Atlantic population,Mammals,Atlantic Ocean,Extirpated,Schedule 1,Extirpated
Grey Whale,Eschrichtius robustus,Eastern North Pacific population,Mammals,"Pacific Ocean, Arctic Ocean",Special Concern,Schedule 1,Special Concern
Grizzly Bear,Ursus arctos,Prairie population,Mammals,"Alberta, Saskatchewan, Manitoba",Non-active,Schedule 1,Extirpated
Grizzly Bear,Ursus arctos,Western population,Mammals,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba",Special Concern,No schedule,No Status
Grizzly Bear,Ursus arctos,Ungava population,Mammals,"Quebec, Newfoundland and Labrador",Extinct,,
Gulf of St. Lawrence Aster,Symphyotrichum laurentianum,,Vascular Plants,"Quebec, New Brunswick, Prince Edward Island",Threatened,Schedule 1,Threatened
Gyrfalcon,Falco rusticolus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Ontario, Quebec, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Hadley Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Extinct,,
Hadley Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Extinct,,
Haida Gwaii Slug,Staala gwaii,,Molluscs,British Columbia,Special Concern,No schedule,No Status
Hairy Braya,Braya pilosa,,Vascular Plants,Northwest Territories,Endangered,No schedule,No Status
Hairy Prairie-clover,Dalea villosa,,Vascular Plants,"Saskatchewan, Manitoba",Special Concern,Schedule 1,Threatened
Half-moon Hairstreak,Satyrium semiluna,,Arthropods,"British Columbia, Alberta",Endangered,Schedule 1,Endangered
Haller's Apple Moss,Bartramia halleriana,,Mosses,"British Columbia, Alberta",Threatened,Schedule 1,Threatened
Harbour Porpoise,Phocoena phocoena,Northwest Atlantic population,Mammals,Atlantic Ocean,Special Concern,Schedule 2,Threatened
Harbour Porpoise,Phocoena phocoena,Pacific Ocean population,Mammals,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Harbour Seal Atlantic and Eastern Arctic subspecies,Phoca vitulina concolor,,Mammals,"Nunavut, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",Not at Risk,,
Harbour Seal Lacs des Loups Marins subspecies,Phoca vitulina mellonae,,Mammals,Quebec,Endangered,Schedule 3,Special Concern
Harbour Seal Pacific subspecies,Phoca vitulina richardsi,,Mammals,"British Columbia, Pacific Ocean",Not at Risk,,
Hare-footed Locoweed,Oxytropis lagopus,,Vascular Plants,Alberta,Special Concern,Schedule 3,Special Concern
Harlequin Duck,Histrionicus histrionicus,Eastern population,Birds,"Nunavut, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Special Concern,Schedule 1,Special Concern
Hart's-tongue Fern,Asplenium scolopendrium,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Heart-leaved Plantain,Plantago cordata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Henslow's Sparrow,Ammodramus henslowii,,Birds,"Ontario, Quebec",Endangered,Schedule 1,Endangered
Hickorynut,Obovaria olivaria,,Molluscs,"Ontario, Quebec",Endangered,No schedule,No Status
Hill's Pondweed,Potamogeton hillii,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Hill's Thistle,Cirsium hillii,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Hine's Emerald,Somatochlora hineana,,Arthropods,Ontario,Endangered,No schedule,No Status
Hoary Mountain-mint,Pycnanthemum incanum,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Hooded Seal,Cystophora cristata,,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,,
Hooded Warbler,Setophaga citrina,,Birds,Ontario,Not at Risk,Schedule 1,Threatened
Horned Grebe,Podiceps auritus,Western population,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Special Concern,No schedule,No Status
Horned Grebe,Podiceps auritus,Magdalen Islands population,Birds,Quebec,Endangered,Schedule 1,Endangered
Horned Lark strigata subspecies,Eremophila alpestris strigata,,Birds,British Columbia,Endangered,Schedule 1,Endangered
Hornyhead Chub,Nocomis biguttatus,,Fishes,"Manitoba, Ontario",Not at Risk,,
Horsetail Spike-rush,Eleocharis equisetoides,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Hotwater Physa,Physella wrighti,,Molluscs,British Columbia,Endangered,Schedule 1,Endangered
Houghton's Goldenrod,Solidago houghtonii,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Howell's Triteleia,Triteleia howellii,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Hubbs' Beaked Whale,Mesoplodon carlhubbsi,,Mammals,Pacific Ocean,Not at Risk,,
Humpback Whale,Megaptera novaeangliae,North Pacific population,Mammals,Pacific Ocean,Special Concern,Schedule 1,Threatened
Humpback Whale,Megaptera novaeangliae,Western North Atlantic population,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,Schedule 3,Special Concern
Hungerford's Crawling Water Beetle,Brychius hungerfordi,,Arthropods,Ontario,Endangered,No schedule,No Status
Illinois Tick-trefoil,Desmodium illinoense,,Vascular Plants,Ontario,Extirpated,Schedule 1,Extirpated
Incurved Grizzled Moss,Ptychomitrium incurvum,,Mosses,Ontario,Extirpated,Schedule 1,Extirpated
Island Blue,Plebejus saepiolus insulanus,,Arthropods,British Columbia,Endangered,Schedule 1,Endangered
Island Marble,Euchloe ausonides insulanus,,Arthropods,British Columbia,Extirpated,Schedule 1,Extirpated
Island Tiger Moth,Grammia complicata,,Arthropods,British Columbia,Threatened,No schedule,No Status
Ivory Gull,Pagophila eburnea,,Birds,"Northwest Territories, Nunavut, Newfoundland and Labrador",Endangered,Schedule 1,Endangered
Jefferson Salamander,Ambystoma jeffersonianum,,Amphibians,Ontario,Endangered,Schedule 1,Threatened
Juniper Sedge,Carex juniperorum,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Karner Blue,Lycaeides melissa samuelis,,Arthropods,Ontario,Extirpated,Schedule 1,Extirpated
Keen's Long-eared Bat,Myotis keenii,,Mammals,British Columbia,Data Deficient,Schedule 3,Special Concern
Kellogg's Rush,Juncus kelloggii,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Kentucky Coffee-tree,Gymnocladus dioicus,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Kidneyshell,Ptychobranchus fasciolaris,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Killer Whale,Orcinus orca,Northwest Atlantic / Eastern Arctic population,Mammals,"Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Killer Whale,Orcinus orca,Northeast Pacific transient population,Mammals,Pacific Ocean,Threatened,Schedule 1,Threatened
Killer Whale,Orcinus orca,Northeast Pacific northern resident population,Mammals,Pacific Ocean,Threatened,Schedule 1,Threatened
Killer Whale,Orcinus orca,Northeast Pacific southern resident population,Mammals,Pacific Ocean,Endangered,Schedule 1,Endangered
Killer Whale,Orcinus orca,Northeast Pacific offshore population,Mammals,Pacific Ocean,Threatened,Schedule 1,Threatened
King Rail,Rallus elegans,,Birds,Ontario,Endangered,Schedule 1,Endangered
Kirtland's Warbler,Setophaga kirtlandii,,Birds,Ontario,Endangered,Schedule 1,Endangered
Kiyi,Coregonus kiyi,,Fishes,Ontario,Non-active,Schedule 3,Special Concern
Labrador Duck,Camptorhynchus labradorius,,Birds,"Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Extinct,,
Lake Chubsucker,Erimyzon sucetta,,Fishes,Ontario,Endangered,Schedule 1,Endangered
Lake Erie Watersnake,Nerodia sipedon insularum,,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Lake Ontario Kiyi,Coregonus kiyi orientalis,,Fishes,Ontario,Extinct,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Lake of the Woods - Rainy River populations,Fishes,Ontario,Special Concern,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Southern Hudson Bay - James Bay populations,Fishes,"Manitoba, Ontario, Quebec",Special Concern,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Great Lakes - Upper St. Lawrence populations,Fishes,"Ontario, Quebec",Threatened,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Nelson River populations,Fishes,Manitoba,Endangered,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Saskatchewan River populations,Fishes,"Alberta, Saskatchewan, Manitoba",Endangered,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Red-Assiniboine Rivers - Lake Winnipeg populations,Fishes,"Saskatchewan, Manitoba, Ontario",Endangered,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Winnipeg River - English River populations,Fishes,"Manitoba, Ontario",Endangered,No schedule,No Status
Lake Sturgeon,Acipenser fulvescens,Western Hudson Bay populations,Fishes,"Saskatchewan, Manitoba",Endangered,No schedule,No Status
Lake Whitefish,Coregonus clupeaformis,Lake Simcoe population,Fishes,Ontario,Data Deficient,Schedule 2,Threatened
Lakeside Daisy,Tetraneuris herbacea,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Large Whorled Pogonia,Isotria verticillata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Large-flowered Brickellia,Brickellia grandiflora,,Vascular Plants,"British Columbia, Alberta",Not at Risk,,
Large-headed Woolly Yarrow,Achillea millefolium var. megacephalum,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern
Laura's Clubtail,Stylurus laurae,,Arthropods,Ontario,Endangered,No schedule,No Status
Least Bittern,Ixobrychus exilis,,Birds,"Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened
Least Darter,Etheostoma microperca,,Fishes,Ontario,Not at Risk,,
Leatherback Sea Turtle,Dermochelys coriacea,,Reptiles,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 1,Endangered
Leatherback Sea Turtle,Dermochelys coriacea,Atlantic population,Reptiles,Atlantic Ocean,Endangered,No schedule,No Status
Leatherback Sea Turtle,Dermochelys coriacea,Pacific population,Reptiles,Pacific Ocean,Endangered,No schedule,No Status
Lemmon's Holly Fern,Polystichum lemmonii,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Leopard Dace,Rhinichthys falcatus,,Fishes,British Columbia,Not at Risk,,
Lewis's Woodpecker,Melanerpes lewis,,Birds,British Columbia,Threatened,Schedule 1,Threatened
Lilliput,Toxolasma parvum,,Molluscs,Ontario,Endangered,No schedule,No Status
Lindley's False Silverpuffs,Uropappus lindleyi,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
